Sample	int48	int3	int88	int37	int8	int42	int22	int73	int98	int25	int28	int34	int6	int85	int76	int95	int92	int20	int51	int33	int79	int41	int83	int93	int71	int13	int99	int23	int75	int86	int68	int17	int84	int30	int65	int57	int67	int54	int9	int7	int27	int39	int82	int38	int58	int100	int12	int47	int53	int10	int72	int97	int74	int49	int64	int5	int78	int36	int81	int11	int24	int21	int55	int62	int56	int46	int29	int1	int94	int50	int90	int63	int66	int35	int15	int31	int26	int4	int14	int40	int77	int89	int43	int91	int52	int69	int19	int87	int44	int61	int2	int70	int18	int60	int45	int32	int16	int80	int59	int96	discrete48	discrete3	discrete88	discrete37	discrete8	discrete42	discrete22	discrete73	discrete98	discrete25	discrete28	discrete34	discrete6	discrete85	discrete76	discrete95	discrete92	discrete20	discrete51	discrete33	discrete79	discrete41	discrete83	discrete93	discrete71	discrete13	discrete99	discrete23	discrete75	discrete86	discrete68	discrete17	discrete84	discrete30	discrete65	discrete57	discrete67	discrete54	discrete9	discrete7	discrete27	discrete39	discrete82	discrete38	discrete58	discrete100	discrete12	discrete47	discrete53	discrete10	discrete72	discrete97	discrete74	discrete49	discrete64	discrete5	discrete78	discrete36	discrete81	discrete11	discrete24	discrete21	discrete55	discrete62	discrete56	discrete46	discrete29	discrete1	discrete94	discrete50	discrete90	discrete63	discrete66	discrete35	discrete15	discrete31	discrete26	discrete4	discrete14	discrete40	discrete77	discrete89	discrete43	discrete91	discrete52	discrete69	discrete19	discrete87	discrete44	discrete61	discrete2	discrete70	discrete18	discrete60	discrete45	discrete32	discrete16	discrete80	discrete59	discrete96
s1	48	93	53	49	82	20	100	57	19	7	8	82	8	60	24	74	73	98	19	28	33	79	71	4	36	9	61	43	46	35	8	43	18	24	59	58	4	50	25	35	1	11	25	34	100	47	30	63	22	92	74	99	28	46	17	87	44	14	5	59	99	33	94	63	16	7	80	34	69	58	22	88	98	76	29	6	45	23	54	36	17	89	83	78	19	79	78	96	4	13	3	13	31	14	81	2	48	0	30	45	lukewarm	hot	warm	hot	hot	cold	warm	cold	hot	cold	warm	cold	warm	lukewarm	warm	lukewarm	warm	warm	hot	lukewarm	cold	lukewarm	hot	cold	hot	lukewarm	hot	lukewarm	hot	lukewarm	cold	lukewarm	cold	hot	warm	cold	warm	hot	cold	hot	cold	hot	warm	cold	lukewarm	warm	hot	lukewarm	warm	hot	cold	lukewarm	lukewarm	hot	hot	hot	hot	warm	cold	lukewarm	hot	hot	warm	warm	hot	warm	lukewarm	warm	cold	hot	lukewarm	warm	cold	lukewarm	hot	cold	cold	cold	warm	warm	lukewarm	cold	lukewarm	warm	hot	warm	warm	cold	hot	cold	warm	warm	lukewarm	hot	hot	warm	hot	warm	lukewarm	warm
s2	78	23	58	51	92	47	83	45	18	68	15	97	0	57	87	35	47	12	33	67	57	73	1	75	16	91	49	89	83	34	1	80	98	67	54	56	72	84	4	33	35	79	78	37	82	65	45	80	88	34	10	25	86	0	37	14	57	9	10	58	51	37	29	42	0	23	70	58	4	59	37	31	68	88	0	84	91	53	43	19	65	68	98	3	56	0	89	92	10	56	53	29	72	95	60	85	59	47	85	83	warm	lukewarm	hot	hot	lukewarm	cold	cold	hot	cold	lukewarm	warm	warm	warm	lukewarm	warm	warm	lukewarm	cold	warm	hot	cold	hot	warm	hot	hot	hot	warm	lukewarm	warm	cold	hot	lukewarm	warm	cold	hot	hot	hot	cold	warm	warm	cold	hot	lukewarm	cold	warm	cold	hot	lukewarm	hot	warm	lukewarm	hot	cold	lukewarm	warm	cold	cold	hot	lukewarm	warm	warm	cold	hot	hot	hot	lukewarm	warm	cold	warm	cold	hot	hot	cold	warm	hot	lukewarm	cold	lukewarm	cold	cold	hot	hot	lukewarm	hot	warm	lukewarm	warm	warm	warm	cold	hot	warm	cold	lukewarm	cold	cold	warm	warm	cold	cold
s3	7	4	61	77	30	87	20	38	85	54	65	91	62	3	82	77	74	19	20	19	83	58	50	0	8	65	19	87	96	76	90	81	47	68	61	11	2	95	79	78	62	75	17	50	44	64	22	31	63	7	48	68	34	37	73	5	45	49	18	1	13	50	57	79	79	56	34	16	31	8	95	92	25	10	22	88	38	91	62	58	23	67	94	29	84	54	8	34	43	91	72	20	33	65	89	21	93	6	44	56	cold	lukewarm	hot	lukewarm	warm	lukewarm	cold	lukewarm	warm	cold	lukewarm	cold	hot	hot	hot	lukewarm	warm	warm	warm	cold	hot	warm	warm	warm	cold	warm	lukewarm	hot	warm	lukewarm	hot	hot	warm	cold	warm	warm	lukewarm	lukewarm	hot	cold	warm	warm	hot	hot	cold	cold	hot	warm	hot	warm	cold	lukewarm	lukewarm	lukewarm	warm	lukewarm	cold	cold	lukewarm	lukewarm	lukewarm	cold	warm	hot	cold	lukewarm	cold	warm	cold	lukewarm	cold	hot	lukewarm	warm	cold	lukewarm	lukewarm	hot	warm	cold	hot	hot	lukewarm	hot	cold	cold	lukewarm	cold	hot	lukewarm	warm	cold	warm	warm	cold	lukewarm	warm	lukewarm	lukewarm	cold
s4	68	43	42	56	69	71	9	94	73	45	2	96	61	70	11	11	52	72	80	11	77	43	48	42	53	34	41	28	1	81	97	1	31	51	48	31	8	98	17	82	82	22	34	34	63	94	40	98	77	93	24	8	39	53	50	56	90	12	34	55	86	15	47	91	97	37	38	44	0	32	57	71	14	71	26	77	15	27	29	73	52	59	19	41	88	26	64	73	95	20	64	35	100	76	13	8	84	22	17	84	lukewarm	lukewarm	warm	warm	hot	lukewarm	hot	hot	warm	warm	lukewarm	lukewarm	warm	warm	hot	lukewarm	hot	warm	lukewarm	warm	warm	hot	warm	lukewarm	hot	hot	hot	cold	lukewarm	hot	lukewarm	lukewarm	warm	hot	warm	cold	hot	hot	warm	lukewarm	cold	warm	cold	hot	cold	cold	cold	warm	lukewarm	lukewarm	lukewarm	hot	cold	lukewarm	hot	warm	lukewarm	warm	cold	hot	warm	cold	lukewarm	warm	warm	hot	cold	lukewarm	cold	lukewarm	warm	warm	lukewarm	cold	cold	hot	lukewarm	warm	warm	hot	lukewarm	warm	warm	lukewarm	warm	cold	lukewarm	hot	hot	lukewarm	hot	warm	lukewarm	cold	cold	cold	hot	warm	hot	hot
s5	57	81	96	28	6	84	30	99	6	15	93	63	65	49	13	74	6	81	39	97	59	29	35	55	89	67	1	64	46	3	92	62	1	27	43	3	82	74	35	36	45	71	77	21	20	87	52	81	40	16	7	13	73	8	22	19	70	62	37	12	22	70	18	69	86	80	6	57	97	52	57	23	95	30	36	12	66	83	93	76	41	12	47	72	55	69	9	28	61	53	66	18	27	19	11	77	10	49	23	21	cold	warm	warm	lukewarm	lukewarm	cold	warm	cold	lukewarm	cold	warm	lukewarm	lukewarm	warm	warm	cold	cold	lukewarm	warm	cold	lukewarm	hot	lukewarm	lukewarm	hot	hot	cold	warm	warm	lukewarm	warm	warm	cold	cold	cold	hot	cold	cold	cold	lukewarm	lukewarm	cold	cold	cold	warm	hot	warm	lukewarm	hot	warm	warm	cold	warm	cold	lukewarm	lukewarm	hot	lukewarm	hot	warm	lukewarm	warm	warm	hot	lukewarm	lukewarm	warm	warm	lukewarm	hot	lukewarm	warm	hot	hot	warm	lukewarm	warm	warm	cold	lukewarm	cold	warm	cold	cold	hot	hot	warm	cold	cold	hot	warm	lukewarm	lukewarm	warm	warm	warm	warm	lukewarm	cold	cold
s6	50	82	45	2	49	55	1	19	87	17	98	65	18	43	20	75	100	95	16	24	0	69	91	27	17	28	77	32	37	6	77	21	17	48	56	58	38	63	64	24	63	89	84	71	24	98	13	22	61	23	40	96	10	20	51	74	90	30	68	6	88	27	62	95	18	13	83	49	64	71	57	54	72	33	40	4	93	31	31	16	11	93	94	45	13	93	81	24	11	26	88	79	2	11	7	96	31	32	39	91	cold	hot	warm	cold	hot	cold	lukewarm	warm	cold	warm	cold	lukewarm	cold	hot	hot	lukewarm	lukewarm	cold	warm	lukewarm	warm	cold	warm	hot	cold	cold	cold	warm	cold	warm	lukewarm	lukewarm	lukewarm	warm	cold	lukewarm	cold	hot	cold	hot	hot	hot	warm	cold	cold	lukewarm	warm	warm	warm	hot	warm	hot	cold	warm	hot	hot	cold	warm	cold	cold	lukewarm	lukewarm	warm	cold	hot	cold	cold	hot	hot	hot	cold	cold	cold	lukewarm	cold	lukewarm	warm	cold	lukewarm	warm	lukewarm	cold	cold	lukewarm	cold	cold	lukewarm	cold	lukewarm	hot	warm	warm	lukewarm	cold	lukewarm	hot	lukewarm	lukewarm	cold	hot
s7	78	64	97	69	53	78	71	8	95	56	12	65	38	38	21	42	82	49	8	94	40	96	7	49	49	83	23	69	17	54	30	97	90	74	94	95	86	93	34	66	69	14	90	45	19	1	71	55	1	65	57	78	41	20	39	77	26	35	75	7	24	61	33	84	76	57	4	100	81	21	32	60	50	74	5	53	42	75	40	98	64	1	66	15	89	76	15	27	59	22	11	72	8	9	42	18	1	61	79	46	hot	cold	hot	hot	hot	cold	warm	cold	cold	lukewarm	cold	lukewarm	hot	hot	warm	hot	cold	lukewarm	warm	hot	hot	hot	hot	lukewarm	lukewarm	lukewarm	cold	warm	lukewarm	lukewarm	cold	warm	cold	warm	warm	cold	warm	hot	hot	lukewarm	lukewarm	warm	cold	hot	cold	lukewarm	hot	lukewarm	hot	hot	lukewarm	lukewarm	hot	warm	lukewarm	cold	cold	warm	warm	cold	lukewarm	hot	lukewarm	lukewarm	cold	warm	cold	cold	cold	cold	lukewarm	hot	cold	lukewarm	warm	warm	hot	hot	hot	cold	hot	hot	lukewarm	hot	cold	lukewarm	hot	hot	cold	hot	warm	lukewarm	lukewarm	hot	warm	hot	cold	hot	cold	hot
s8	54	8	73	83	86	40	47	43	46	20	62	26	43	25	63	17	7	29	10	71	41	45	1	56	18	9	54	72	49	1	93	7	51	80	68	85	80	91	82	2	22	27	86	38	94	98	30	75	76	55	97	11	43	49	35	95	35	39	82	38	47	51	90	26	18	89	12	27	89	18	1	65	74	73	76	45	61	76	62	13	88	53	34	58	54	89	20	49	86	35	88	22	23	9	97	37	62	55	27	92	lukewarm	hot	cold	cold	hot	cold	warm	hot	lukewarm	warm	hot	warm	warm	lukewarm	lukewarm	warm	warm	hot	cold	hot	hot	warm	hot	lukewarm	hot	hot	hot	lukewarm	lukewarm	hot	cold	cold	hot	cold	warm	cold	cold	warm	lukewarm	lukewarm	lukewarm	cold	warm	cold	cold	warm	cold	cold	cold	warm	warm	warm	warm	cold	hot	hot	cold	cold	warm	warm	warm	cold	cold	lukewarm	hot	cold	lukewarm	warm	hot	warm	lukewarm	warm	hot	cold	hot	hot	cold	warm	hot	cold	lukewarm	lukewarm	hot	warm	lukewarm	lukewarm	warm	lukewarm	hot	hot	warm	warm	cold	cold	lukewarm	warm	lukewarm	cold	cold	cold
s9	55	14	96	75	46	56	9	32	71	35	93	80	56	63	71	95	81	81	36	9	32	39	68	82	15	18	33	36	86	22	27	43	84	66	23	59	12	35	16	65	29	32	47	98	50	88	4	53	28	57	41	32	63	77	69	4	57	39	57	49	97	85	94	38	76	72	4	75	44	23	9	10	91	85	65	73	19	51	59	18	32	84	61	51	62	13	94	100	30	7	0	67	96	73	45	46	71	61	4	88	warm	warm	cold	cold	hot	warm	lukewarm	lukewarm	warm	lukewarm	warm	lukewarm	hot	warm	lukewarm	hot	hot	warm	warm	warm	hot	cold	hot	warm	cold	warm	hot	cold	cold	cold	lukewarm	cold	warm	lukewarm	warm	cold	cold	hot	lukewarm	hot	hot	hot	warm	lukewarm	lukewarm	lukewarm	lukewarm	cold	hot	lukewarm	warm	hot	hot	lukewarm	cold	lukewarm	hot	warm	cold	hot	cold	cold	lukewarm	cold	lukewarm	cold	cold	cold	hot	warm	hot	hot	hot	hot	hot	warm	hot	cold	warm	cold	cold	lukewarm	lukewarm	cold	hot	hot	warm	warm	cold	cold	lukewarm	lukewarm	hot	hot	lukewarm	warm	lukewarm	hot	hot	warm
s10	13	14	21	96	65	77	7	27	58	21	9	12	11	48	87	55	33	82	19	77	29	6	53	52	70	18	84	93	43	66	75	98	17	40	13	46	5	65	54	26	91	69	37	19	61	43	31	97	92	73	61	48	35	98	62	94	84	13	69	62	29	36	60	68	67	92	95	98	97	46	23	23	10	66	31	46	44	90	6	37	91	62	41	57	71	97	86	64	5	100	10	75	39	13	9	53	97	100	37	94	lukewarm	warm	hot	cold	warm	cold	lukewarm	lukewarm	hot	lukewarm	warm	warm	hot	cold	lukewarm	lukewarm	lukewarm	hot	lukewarm	cold	hot	warm	hot	warm	lukewarm	lukewarm	hot	hot	hot	lukewarm	lukewarm	warm	hot	lukewarm	hot	warm	warm	cold	hot	hot	lukewarm	warm	cold	lukewarm	hot	hot	lukewarm	hot	warm	cold	warm	hot	warm	hot	hot	warm	cold	hot	warm	hot	warm	cold	lukewarm	lukewarm	hot	hot	warm	warm	cold	hot	lukewarm	hot	hot	lukewarm	warm	lukewarm	lukewarm	lukewarm	warm	cold	hot	lukewarm	lukewarm	lukewarm	lukewarm	warm	warm	cold	warm	lukewarm	lukewarm	warm	warm	warm	cold	hot	lukewarm	lukewarm	cold	lukewarm
